Protein-Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number
"ECED1_1328","sodium ion:proton antiporter","","NhaB","The NhaB Na+:H+ Antiporter (NhaB) Family","Secondary Transporter","2.A.34"
"ECED1_2462","nickel ion","","NiCoT","The Ni2+-Co2+ Transporter (NiCoT) Family","Secondary Transporter","2.A.52"
"ECED1_2838","manganese/iron ion","","Nramp","The Metal Ion (Mn2+-iron) Transporter (Nramp) Family","Secondary Transporter","2.A.55"
"ECED1_4397","60 KD inner membrane protein OxaA homolog","","Oxa1","The Cytochrome Oxidase Biogenesis (Oxa1) Family","Secondary Transporter","2.A.9"
"ECED1_3637","phosphate","","PiT","The Inorganic Phosphate Transporter (PiT) Family","Secondary Transporter","2.A.20"
"ECED1_4162","phosphate","","PiT","The Inorganic Phosphate Transporter (PiT) Family","Secondary Transporter","2.A.20"
"ECED1_4728","sodium ion:phosphate symporter","","PNaS","The Phosphate:Na+ Symporter (PNaS) Family","Secondary Transporter","2.A.58"
"ECED1_0681","proton:dipeptide/tripeptide symporter","","POT","The Proton-dependent Oligopeptide Transporter (POT) Family","Secondary Transporter","2.A.17"
"ECED1_1835","proton:dipeptide/tripeptide symporter","","POT","The Proton-dependent Oligopeptide Transporter (POT) Family","Secondary Transporter","2.A.17"
"ECED1_4165","proton:dipeptide/tripeptide symporter","","POT","The Proton-dependent Oligopeptide Transporter (POT) Family","Secondary Transporter","2.A.17"
"ECED1_4866","proton:dipeptide/tripeptide symporter","","POT","The Proton-dependent Oligopeptide Transporter (POT) Family","Secondary Transporter","2.A.17"
"ECED1_0361","amino acid efflux","","RhtB","The Resistance to Homoserine/Threonine (RhtB) Family","Secondary Transporter","2.A.76"
"ECED1_2004","amino acid efflux","","RhtB","The Resistance to Homoserine/Threonine (RhtB) Family","Secondary Transporter","2.A.76"
"ECED1_3009","amino acid efflux","","RhtB","The Resistance to Homoserine/Threonine (RhtB) Family","Secondary Transporter","2.A.76"
"ECED1_4508","amino acid efflux","","RhtB","The Resistance to Homoserine/Threonine (RhtB) Family","Secondary Transporter","2.A.76"
"ECED1_4509","amino acid efflux","","RhtB","The Resistance to Homoserine/Threonine (RhtB) Family","Secondary Transporter","2.A.76"
"ECED1_0431","protein export (SecDF)","SecDF","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_0485","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_0566","multidrug efflux","","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_0567","multidrug efflux","","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_1502","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_1845","multidrug efflux","","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_2421","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_2422","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_2903","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_3476","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_3891","multidrug efflux","","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_3925","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_4192","multidrug/solvent efflux (HAE1 subfamily)","HAE1","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_4816","multidrug efflux","","RND","The Resistance-Nodulation-Cell Division (RND) Superfamily","Secondary Transporter","2.A.6"
"ECED1_0422","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_0562","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_0674","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_1171","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_2685","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_3239","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_3917","sodium ion:panthothenate symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_4374","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_4779","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_4795","sodium ion:proline symporter","","SSS","The Solute:Sodium Symporter (SSS) Family","Secondary Transporter","2.A.21"
"ECED1_1354","sulfate","","SulP","The Sulfate Permease (SulP) Family","Secondary Transporter","2.A.53"
"ECED1_0623","protein export","","Tat","The Twin Arginine Targeting (Tat) Family","Secondary Transporter","2.A.64"
"ECED1_4540","protein export","","Tat","The Twin Arginine Targeting (Tat) Family","Secondary Transporter","2.A.64"
"ECED1_4541","protein export","","Tat","The Twin Arginine Targeting (Tat) Family","Secondary Transporter","2.A.64"
"ECED1_4542","protein export","","Tat","The Twin Arginine Targeting (Tat) Family","Secondary Transporter","2.A.64"
"ECED1_1585","tellurite","","TDT","The Telurite-resistance/Dicarboxylate Transporter (TDT) Family","Secondary Transporter","2.A.16"
"ECED1_3898","Unclassified","","ThrE","The Threonine/Serine Exporter (ThrE) Family","Secondary Transporter","2.A.79"
"ECED1_5232","Unclassified","","ThrE","The Threonine/Serine Exporter (ThrE) Family","Secondary Transporter","2.A.79"
"ECED1_3672","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_3673","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_3674","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_4266","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_4267","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_4268","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_4916","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_5221","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_5222","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_5223","C4-dicarboxylate","","TRAP-T","The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family","Secondary Transporter","2.A.56"
"ECED1_4551","potassium ion uptake","","Trk","The K+ Transporter (Trk) Family","Secondary Transporter","2.A.38"
"ECED1_4529","tricarboxylate (TctA)","TctA","TTT","The Tricarboxylate Transporter (TTT) Family","Secondary Transporter","2.A.80"
"ECED1_4531","tricarboxylate (TctC)","TctC","TTT","The Tricarboxylate Transporter (TTT) Family","Secondary Transporter","2.A.80"
"ECED1_3708","zinc ion","","ZIP","The Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP) Family","Secondary Transporter","2.A.5"
"ECED1_0067","thiamine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0068","iron(III)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0069","thiamin","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0131","daunorubicin","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0133","polysaccharide export","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0157","phosphonate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0158","iron-hydroxamate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0159","cobalamin/Fe3+-siderophores","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0165","iron-hydroxamate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0204","methionine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0205","D-methionine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0206","D-methionine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0355","rhamnose","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0356","sugar (ribose?)","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0357","sugar (ribose?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0358","sugar (ribose?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0392","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0393","nitrate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0394","nitrate/sulfonate/taurine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0472","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0473","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0517","lipoprotein","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0518","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0522","lipoprotein","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0523","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0585","phosphonate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0586","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0587","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0589","iron-hydroxamate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0642","phosphate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0643","amino aicd (glutamine/glutamate/aspartate?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0644","amino aicd (glutamine/glutamate/aspartate?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0645","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0721","daunorubicin","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0725","mobybdenate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0726","molybdate","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0727","molybdate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0757","multidrug","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0758","multidrug","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0759","daunorubicin","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0774","phosphate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0775","amino aicd (glutamine/glutamate/aspartate?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0776","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0785","heme","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0793","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0794","dipeptide/oligopeptide","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0795","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0796","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0818","spermidine/putrescine","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0819","polyamine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0822","spermidine/putrescine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0825","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0826","amino acid (lysine/arginine/ornithine/histidine/octopine)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0827","amino acid (lysine/arginine/ornithine/histidine/octopine)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0828","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0829","sulfate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0846","lipoprotein","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0860","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0861","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0941","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0963","nitrate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0964","nitrate/sulfonate/taurine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0966","nitrate/sulfonate/taurine","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_0972","heme","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1071","TMAO inducer","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1259","lipoprotein releasing","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1260","lipoprotein","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1261","lipoprotein releasing","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1266","spermidine/putrescine","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1267","spermidine/putrescine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1268","spermidine/putrescine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1269","polyamine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1293","manganese/zinc ion","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1294","manganese/zinc ion","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1295","phosphonate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1296","manganese/zinc ion","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1341","phosphonate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1342","cobalamin/Fe3+-siderophores","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1343","iron-hydroxamate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1395","oligopeptide","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1396","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1397","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1398","lipoprotein","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1399","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1505","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1506","phosphonate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1507","antimicrobial peptide uptake","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1508","antimicrobial peptide uptake","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1509","oligopeptide","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1518","sugar","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1519","sugar","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1520","sugar","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1526","polyamine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1540","oligopeptide","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1557","manganese/zinc ion","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1594","spermidine/putrescine","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1595","polyamine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1596","spermidine/putrescine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1597","spermidine/putrescine","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1880","? (Fe-S assembly/SufBCD system)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1881","? (Fe-S assembly/SufBCD system)","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1882","? (Fe-S assembly/SufBCD system)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1911","molybdate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1913","Vitamin B12","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1956","spermidine/putrescine","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1957","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_1958","sulfate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2062","zinc ion","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2063","daunorubicin","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2064","manganese/zinc ion","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2164","sugar (ribose?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2165","sugar (ribose?)","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2166","ribose","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2182","phosphate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2183","amino aicd (glutamine/glutamate/aspartate?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2185","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2246","lipid A","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2247","multidrug","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2572","glycine betaine/L-proline/carnitine/choline","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2573","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2574","glycine betaine/L-proline/carnitine/choline","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2575","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2595","D-galactose/galactoside","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2596","sugar (ribose?)","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2597","xylose","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2629","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2630","dipeptide/oligopeptide","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2631","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2663","Unclassified","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2665","heme export","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2666","heme","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2677","pyoverdin (siderophore) exporter PvdE","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2770","phosphate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2771","amino acid (lysine/arginine/ornithine/histidine/octopine)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2772","amino acid (lysine/arginine/ornithine/histidine/octopine)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2773","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2774","amino acid (glutamine/glutamate/aspartate?)","binding protein","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2865","sulfate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2866","sulfate","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2867","sulfate","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2868","sulfate/thiosulfate","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2973","sugar (ribose?)","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2974","sugar (ribose?)","ABC","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_2975","ribose","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3132","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3133","glycine betaine/L-proline","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3134","glycine betaine","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3385","Unclassified","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3386","cobalt ion","membrane","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
"ECED1_3387","cobalt","binding","ABC","The ATP-binding Cassette (ABC) Superfamily","ATP-Dependent","3.A.1"
